id,name,desc,price,quantity
1,Wireless Keyboard Pro,A compact wireless keyboard with long battery life,399.99,31
2,Noise-Cancelling Headphones Max,High-quality headphones with active noise cancellation.,199.99,75
3,4K Ultra HD Monitor,A stunning 27-inch 4K monitor with vibrant colors.,399.99,50
4,Bluetooth Speaker,Portable Bluetooth speaker with deep bass and crystal clear sound.,59.99,200
5,Gaming Mouse Xtreme,Ergonomic gaming mouse with customizable buttons and RGB lighting.,49.99,120
6,Smartwatch Fit,Fitness-focused smartwatch with heart rate monitor and GPS.,149.99,80
7,Portable SSD 1TB,High-speed portable SSD with 1TB storage capacity.,129.99,90
8,USB-C Hub,"7-in-1 USB-C hub with HDMI, USB 3.0, and SD card reader.",34.99,140
9,Mechanical Keyboard,RGB mechanical keyboard with tactile switches.,89.99,110
10,1080p Webcam,Full HD webcam with built-in microphone for video conferencing.,39.99,95
11,Wi-Fi Range Extender,Boost your Wi-Fi signal with this easy-to-install range extender.,49.99,130
12,hj,uyf,89.0,8
